key,en,ru,da,de,es,fi,fr,hu,it,nb,pl,pt
русское название языка,Английский,Русский,Датский,Немецкий,Испанский,Финский,Французский,Венгерский,Итальянский,Норвежский,Польский,Португальский
локализированное,English,Русский,Dansk,Deutsche,Español,Suomalainen,Français,Magyar,Italiano,Norsk,Polski,Português
,,,,,,,,,,,,
strAbc,BOATUSCRELXFNDWKPHMYIJGVQZ,ЗИМАЛЕТОСНЬГРУБКЦФДЫХПЙЖВЪШЧЯЭЮЩ,SURFANDOLETÅVIMGKBØPÆJCHYQZXWAZU,GRÜNOTELBSÄUADZFIKMCHWPVYQÖJXORFU,ESTNORUÓQLBCADFIKMGYJHPZVXW,BUSIVENATORKFLMYÄHPJÖDCQZGWX,OUESTNRDMAILBZGFHJVCPKXQWY,BOTKANÁLDUJYRŐSZVÉPIGÖEFÍŰHMCWXQ,NORDESTUVABIFLXCMZGHPJKQYW,BUSILYKEÅTAPVNDRFGOJØMCHQZWTREX,PLAŻUŁSZJEIŃWONMTKFBCRYGŚĄDĘHÓVQŹĆX,NORTELSUKAXIFMÔCHVDJÉBPQZÂÇÃÍGÊÚÓÁYWÛÕÀ
,,,,,,,,,,,,
strPlay,Play,Играть,Spil,Spielen,Jugar,pelata,Jouer,Játék,Giocare,Spille,Grać,Jogar
strSettings,Settings,настройки,Indstillinger,Einstellungen,Ajustes,asetukset,Paramètres,Beállítások,Impostazioni,Innstillinger,Ustawienia,Configurações
strSounds,Sounds,звуки,Lyde,Geräusche,Sonidos,Äänet,Des sons,Hangok,Suoni,Lyder,Dźwięki,Sons
strVibrations,Vibrations,вибрации,Vibrationer,Vibrationen,Vibraciones,Värit,Vibrations,Rezgés,Vibrazioni,Vibrasjoner,Wibracje,Vibrações
strPrivacyPolicy,Privacy Policy,Политика конфиденциальности,Fortrolighedspolitik,Datenschutzrichtlinie,política de privacidad,Tietosuojakäytäntö,politique de confidentialité,Adatvédelmi irányelvek,politica sulla riservatezza,Personvernregler,Polityka prywatności,política de Privacidade
strCollect,Collect,собрать,Indsamle,Sammeln,Recolectar,Kerätä,Collecter,Gyűjt,Raccogliere,Samle inn,Zbierać,Coletar
strCollectX,Collect x{0},собрать x{0},Indsamle x {0},Sammeln x {0},Recoger x {0},Kerää x {0},Collectez x {0},Gyűjtse össze az x {0},Raccogli x {0},Samle x {0},Zbierz x {0},Colete x {0}
strSelectLanguage,Select language,Выберите язык,Vælg sprog,Sprache auswählen,Seleccione el idioma,Valitse kieli,Choisir la langue,Válasszon nyelvet,Seleziona la lingua,Velg språk,Wybierz język,Selecione o idioma
strSelect,Select,Выбрать,Vælg,Wählen,Seleccionar,Valita,Sélectionner,Válasszon,Selezionare,Plukke ut,Wybierać,Selecione
strComplete,Complete,полный,Komplet,Vollständig,Completo,Saattaa loppuun,Complet,teljes,Completare,Fullstendig,Kompletny,Completo
strTutorial,Tutorial,Обучение,Tutorial,Lernprogramm,Tutorial,Opetusohjelma,Didacticiel,Oktatóanyag,Tutorial,Opplæringen,Instruktaż,Tutorial
